"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"F1";"WireConnection_0.80mmDrill";1;"FUSE_F";;;
2;"U1";"QFN-48-1EP_7x7mm_Pitch0.5mm";1;"MK20DX128VFT5";;;
3;"C1,C3,C4,C5,C7,C8,C9,C10,C11,C13";"C_0805";10;"100n";;;
4;"C2,C6,C12";"C_0805";3;"2.2u";;;
5;"D1,D3";"SOT-23";2;"BAS40-05";;;
6;"D2";"LED_0603";1;"LED";;;
7;"R1";"R_0805";1;"470";;;
8;"R2,R3";"R_0805";2;"33";;;
9;"R4,R6";"R_0805";2;"1k";;;
10;"R5";"R_0805";1;"10k";;;
11;"SW1";"SW_SPST_EVQPE1";1;"SW_PUSH";;;
12;"U2";"SOT-223";1;"LT1129CST-3.3";;;
13;"U3";"SOIC-14_N";1;"74LS126";;;
14;"X3";"SD_Card_Receptacle";1;"MOLEX-MICRO-SD";;;
15;"L1,L2,L3";"Neosid_Inductor_SM1206";3;"INDUCTOR_F";;;
16;"JP1,JP2,JP3";"PINHEAD1-2";3;"JUMPER_F";;;
17;"Y1";"ABM3";1;"Crystal";;;
18;"Y2";"Crystal_Round_Horizontal_3mm_BigPad";1;"Crystal_Small";;;
19;"P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P27,P28,P29,P30,P31,P33,P41,VBATT1,GND1";"PIN1";32;"CONN_1";;;
20;"CON1";"USB_Micro-B";1;"USB-MINI-B";;;
21;"P24,P37,P25,P26,P32,P34,P36";"PINC";7;"CONN_1";;;
22;"P38,P35";"CONN-2x5-1.27-SMT";2;"CONN_5X2";;;
